Month,SKU_ID,SKU_Description,Product_Group,UoM,Actual_Demand_units,Supplier_LeadTime_days,Transit_days,OnHand_Inventory_units,Planned_Receipts_units,MOQ_units,Unit_Cost_USD,Shelf_Life_days,Planned_Receipt_Date,Actual_Receipt_Date,Customer_Priority
01/05/2025 00:00,SKU0002,Surfactants Grade A,Surfactants,kg,184,51,6,115,148,516,"23,19",365,08/05/2025 00:00,12/05/2025 00:00,Low
01/06/2025 00:00,SKU0002,Surfactants Grade A,Surfactants,kg,154,51,9,72,0,516,"23,19",365,,,Low
01/07/2025 00:00,SKU0002,Surfactants Grade A,Surfactants,kg,167,51,7,232,143,516,"23,19",365,08/07/2025 00:00,07/07/2025 00:00,Low
01/08/2025 00:00,SKU0002,Surfactants Grade A,Surfactants,kg,177,51,5,46,213,516,"23,19",365,08/08/2025 00:00,10/08/2025 00:00,Low
01/11/2024 00:00,SKU0003,Surfactants Grade C,Surfactants,kg,508,46,4,223,0,8372,"10,71",540,,,Medium
01/12/2024 00:00,SKU0003,Surfactants Grade C,Surfactants,kg,318,46,2,192,46,8372,"10,71",540,08/12/2024 00:00,06/12/2024 00:00,Medium
01/01/2025 00:00,SKU0003,Surfactants Grade C,Surfactants,kg,315,46,2,380,207,8372,"10,71",540,08/01/2025 00:00,12/01/2025 00:00,Medium
01/02/2025 00:00,SKU0003,Surfactants Grade C,Surfactants,kg,419,46,12,631,227,8372,"10,71",540,08/02/2025 00:00,16/02/2025 00:00,Medium
01/03/2025 00:00,SKU0003,Surfactants Grade C,Surfactants,kg,468,46,10,269,219,8372,"10,71",540,08/03/2025 00:00,18/03/2025 00:00,Medium
01/04/2025 00:00,SKU0003,Surfactants Grade C,Surfactants,kg,375,46,5,301,268,8372,"10,71",540,08/04/2025 00:00,10/04/2025 00:00,Medium
01/05/2025 00:00,SKU0003,Surfactants Grade C,Surfactants,kg,428,46,2,178,205,8372,"10,71",540,08/05/2025 00:00,06/05/2025 00:00,Medium
01/06/2025 00:00,SKU0003,Surfactants Grade C,Surfactants,kg,299,46,3,0,336,8372,"10,71",540,08/06/2025 00:00,16/06/2025 00:00,Medium
01/07/2025 00:00,SKU0003,Surfactants Grade C,Surfactants,kg,357,46,10,265,361,8372,"10,71",540,08/07/2025 00:00,09/07/2025 00:00,Medium
01/08/2025 00:00,SKU0003,Surfactants Grade C,Surfactants,kg,308,46,14,504,175,8372,"10,71",540,08/08/2025 00:00,05/08/2025 00:00,Medium
01/11/2024 00:00,SKU0004,Solvents Grade C,Solvents,litre,279,28,11,436,114,5361,"25,43",1095,08/11/2024 00:00,16/11/2024 00:00,Medium
01/12/2024 00:00,SKU0004,Solvents Grade C,Solvents,litre,263,28,1,133,301,5361,"25,43",1095,08/12/2024 00:00,14/12/2024 00:00,Medium
01/01/2025 00:00,SKU0004,Solvents Grade C,Solvents,litre,355,28,6,586,303,5361,"25,43",1095,08/01/2025 00:00,10/01/2025 00:00,Medium
01/02/2025 00:00,SKU0004,Solvents Grade C,Solvents,litre,291,28,6,0,195,5361,"25,43",1095,08/02/2025 00:00,17/02/2025 00:00,Medium
01/03/2025 00:00,SKU0004,Solvents Grade C,Solvents,litre,150,28,1,254,59,5361,"25,43",1095,08/03/2025 00:00,16/03/2025 00:00,Medium
01/04/2025 00:00,SKU0004,Solvents Grade C,Solvents,litre,311,28,6,632,184,5361,"25,43",1095,08/04/2025 00:00,13/04/2025 00:00,Medium
01/05/2025 00:00,SKU0004,Solvents Grade C,Solvents,litre,215,28,5,306,133,5361,"25,43",1095,08/05/2025 00:00,05/05/2025 00:00,Medium
01/06/2025 00:00,SKU0004,Solvents Grade C,Solvents,litre,284,28,3,132,85,5361,"25,43",1095,08/06/2025 00:00,15/06/2025 00:00,Medium
01/07/2025 00:00,SKU0004,Solvents Grade C,Solvents,litre,278,28,7,551,159,5361,"25,43",1095,08/07/2025 00:00,15/07/2025 00:00,Medium
01/08/2025 00:00,SKU0004,Solvents Grade C,Solvents,litre,211,28,5,75,188,5361,"25,43",1095,08/08/2025 00:00,14/08/2025 00:00,Medium
01/11/2024 00:00,SKU0005,Intermediates Grade B,Intermediates,litre,570,24,5,0,560,2608,"15,72",365,08/11/2024 00:00,16/11/2024 00:00,Medium
01/12/2024 00:00,SKU0005,Intermediates Grade B,Intermediates,litre,317,24,10,229,120,2608,"15,72",365,08/12/2024 00:00,16/12/2024 00:00,Medium
01/01/2025 00:00,SKU0005,Intermediates Grade B,Intermediates,litre,315,24,4,360,345,2608,"15,72",365,08/01/2025 00:00,18/01/2025 00:00,Medium
01/02/2025 00:00,SKU0005,Intermediates Grade B,Intermediates,litre,379,24,5,352,380,2608,"15,72",365,08/02/2025 00:00,18/02/2025 00:00,Medium
01/03/2025 00:00,SKU0005,Intermediates Grade B,Intermediates,litre,456,24,14,194,380,2608,"15,72",365,08/03/2025 00:00,18/03/2025 00:00,Medium
01/04/2025 00:00,SKU0005,Intermediates Grade B,Intermediates,litre,482,24,6,132,115,2608,"15,72",365,08/04/2025 00:00,07/04/2025 00:00,Medium
01/05/2025 00:00,SKU0005,Intermediates Grade B,Intermediates,litre,368,24,8,251,232,2608,"15,72",365,08/05/2025 00:00,16/05/2025 00:00,Medium
01/06/2025 00:00,SKU0005,Intermediates Grade B,Intermediates,litre,213,24,9,220,143,2608,"15,72",365,08/06/2025 00:00,11/06/2025 00:00,Medium
01/07/2025 00:00,SKU0005,Intermediates Grade B,Intermediates,litre,530,24,8,688,62,2608,"15,72",365,08/07/2025 00:00,08/07/2025 00:00,Medium
01/08/2025 00:00,SKU0005,Intermediates Grade B,Intermediates,litre,593,24,3,573,0,2608,"15,72",365,,,Medium
01/11/2024 00:00,SKU0006,Intermediates Grade B,Intermediates,kg,367,20,6,324,350,9217,"12,58",730,08/11/2024 00:00,07/11/2024 00:00,Medium
01/12/2024 00:00,SKU0006,Intermediates Grade B,Intermediates,kg,265,20,5,116,252,9217,"12,58",730,08/12/2024 00:00,09/12/2024 00:00,Medium
01/01/2025 00:00,SKU0006,Intermediates Grade B,Intermediates,kg,391,20,6,350,332,9217,"12,58",730,08/01/2025 00:00,07/01/2025 00:00,Medium
01/02/2025 00:00,SKU0006,Intermediates Grade B,Intermediates,kg,296,20,5,252,191,9217,"12,58",730,08/02/2025 00:00,11/02/2025 00:00,Medium
01/03/2025 00:00,SKU0006,Intermediates Grade B,Intermediates,kg,299,20,8,324,152,9217,"12,58",730,08/03/2025 00:00,09/03/2025 00:00,Medium
01/04/2025 00:00,SKU0006,Intermediates Grade B,Intermediates,kg,239,20,1,119,319,9217,"12,58",730,08/04/2025 00:00,13/04/2025 00:00,Medium
01/05/2025 00:00,SKU0006,Intermediates Grade B,Intermediates,kg,243,20,10,71,42,9217,"12,58",730,08/05/2025 00:00,11/05/2025 00:00,Medium
01/06/2025 00:00,SKU0006,Intermediates Grade B,Intermediates,kg,281,20,1,0,330,9217,"12,58",730,08/06/2025 00:00,06/06/2025 00:00,Medium
01/07/2025 00:00,SKU0006,Intermediates Grade B,Intermediates,kg,192,20,8,105,174,9217,"12,58",730,08/07/2025 00:00,08/07/2025 00:00,Medium
01/08/2025 00:00,SKU0006,Intermediates Grade B,Intermediates,kg,387,20,10,194,320,9217,"12,58",730,08/08/2025 00:00,13/08/2025 00:00,Medium
01/11/2024 00:00,SKU0007,Surfactants Grade A,Surfactants,kg,398,52,5,516,449,3055,"18,36",730,08/11/2024 00:00,16/11/2024 00:00,Medium
01/12/2024 00:00,SKU0007,Surfactants Grade A,Surfactants,kg,269,52,5,429,367,3055,"18,36",730,08/12/2024 00:00,18/12/2024 00:00,Medium
01/01/2025 00:00,SKU0007,Surfactants Grade A,Surfactants,kg,228,52,1,99,217,3055,"18,36",730,08/01/2025 00:00,06/01/2025 00:00,Medium
01/02/2025 00:00,SKU0007,Surfactants Grade A,Surfactants,kg,316,52,7,273,297,3055,"18,36",730,08/02/2025 00:00,14/02/2025 00:00,Medium
01/03/2025 00:00,SKU0007,Surfactants Grade A,Surfactants,kg,371,52,5,255,218,3055,"18,36",730,08/03/2025 00:00,13/03/2025 00:00,Medium
01/04/2025 00:00,SKU0007,Surfactants Grade A,Surfactants,kg,270,52,10,0,326,3055,"18,36",730,08/04/2025 00:00,14/04/2025 00:00,Medium
01/05/2025 00:00,SKU0007,Surfactants Grade A,Surfactants,kg,251,52,8,399,158,3055,"18,36",730,08/05/2025 00:00,09/05/2025 00:00,Medium
01/06/2025 00:00,SKU0007,Surfactants Grade A,Surfactants,kg,239,52,3,143,300,3055,"18,36",730,08/06/2025 00:00,06/06/2025 00:00,Medium
01/07/2025 00:00,SKU0007,Surfactants Grade A,Surfactants,kg,329,52,10,125,130,3055,"18,36",730,08/07/2025 00:00,08/07/2025 00:00,Medium
01/08/2025 00:00,SKU0007,Surfactants Grade A,Surfactants,kg,253,52,8,81,163,3055,"18,36",730,08/08/2025 00:00,16/08/2025 00:00,Medium
01/11/2024 00:00,SKU0008,Additives Grade C,Additives,kg,558,19,7,438,427,1578,"5,75",1095,08/11/2024 00:00,16/11/2024 00:00,Medium
01/12/2024 00:00,SKU0008,Additives Grade C,Additives,kg,358,19,5,133,263,1578,"5,75",1095,08/12/2024 00:00,11/12/2024 00:00,Medium
01/01/2025 00:00,SKU0008,Additives Grade C,Additives,kg,469,19,1,26,144,1578,"5,75",1095,08/01/2025 00:00,16/01/2025 00:00,Medium
01/02/2025 00:00,SKU0008,Additives Grade C,Additives,kg,385,19,6,116,387,1578,"5,75",1095,08/02/2025 00:00,17/02/2025 00:00,Medium
01/03/2025 00:00,SKU0008,Additives Grade C,Additives,kg,288,19,9,450,270,1578,"5,75",1095,08/03/2025 00:00,12/03/2025 00:00,Medium
01/04/2025 00:00,SKU0008,Additives Grade C,Additives,kg,284,19,6,312,99,1578,"5,75",1095,08/04/2025 00:00,07/04/2025 00:00,Medium
01/05/2025 00:00,SKU0008,Additives Grade C,Additives,kg,345,19,9,367,199,1578,"5,75",1095,08/05/2025 00:00,18/05/2025 00:00,Medium
01/06/2025 00:00,SKU0008,Additives Grade C,Additives,kg,445,19,3,194,273,1578,"5,75",1095,08/06/2025 00:00,05/06/2025 00:00,Medium
01/07/2025 00:00,SKU0008,Additives Grade C,Additives,kg,415,19,11,570,321,1578,"5,75",1095,08/07/2025 00:00,08/07/2025 00:00,Medium
01/08/2025 00:00,SKU0008,Additives Grade C,Additives,kg,414,19,6,213,429,1578,"5,75",1095,08/08/2025 00:00,06/08/2025 00:00,Medium
01/11/2024 00:00,SKU0009,Packaging Grade C,Packaging,litre,244,50,9,190,143,5443,"0,5",730,08/11/2024 00:00,12/11/2024 00:00,Medium
01/12/2024 00:00,SKU0009,Packaging Grade C,Packaging,litre,469,50,7,151,581,5443,"0,5",730,08/12/2024 00:00,08/12/2024 00:00,Medium
01/01/2025 00:00,SKU0009,Packaging Grade C,Packaging,litre,383,50,7,386,199,5443,"0,5",730,08/01/2025 00:00,06/01/2025 00:00,Medium
01/02/2025 00:00,SKU0009,Packaging Grade C,Packaging,litre,309,50,8,619,290,5443,"0,5",730,08/02/2025 00:00,18/02/2025 00:00,Medium
01/03/2025 00:00,SKU0009,Packaging Grade C,Packaging,litre,308,50,4,402,205,5443,"0,5",730,08/03/2025 00:00,10/03/2025 00:00,Medium
01/04/2025 00:00,SKU0009,Packaging Grade C,Packaging,litre,547,50,3,232,387,5443,"0,5",730,08/04/2025 00:00,10/04/2025 00:00,Medium
01/05/2025 00:00,SKU0009,Packaging Grade C,Packaging,litre,355,50,2,407,68,5443,"0,5",730,08/05/2025 00:00,14/05/2025 00:00,Medium
01/06/2025 00:00,SKU0009,Packaging Grade C,Packaging,litre,317,50,10,73,500,5443,"0,5",730,08/06/2025 00:00,08/06/2025 00:00,Medium
01/07/2025 00:00,SKU0009,Packaging Grade C,Packaging,litre,379,50,8,0,264,5443,"0,5",730,08/07/2025 00:00,10/07/2025 00:00,Medium
01/08/2025 00:00,SKU0009,Packaging Grade C,Packaging,litre,318,50,13,12,81,5443,"0,5",730,08/08/2025 00:00,17/08/2025 00:00,Medium
01/11/2024 00:00,SKU0010,Surfactants Grade A,Surfactants,kg,291,32,2,162,252,2662,"29,47",540,08/11/2024 00:00,06/11/2024 00:00,Medium
01/12/2024 00:00,SKU0010,Surfactants Grade A,Surfactants,kg,237,32,2,86,146,2662,"29,47",540,08/12/2024 00:00,14/12/2024 00:00,Medium
01/01/2025 00:00,SKU0010,Surfactants Grade A,Surfactants,kg,165,32,10,143,160,2662,"29,47",540,08/01/2025 00:00,16/01/2025 00:00,Medium
01/02/2025 00:00,SKU0010,Surfactants Grade A,Surfactants,kg,258,32,11,416,269,2662,"29,47",540,08/02/2025 00:00,06/02/2025 00:00,Medium
01/03/2025 00:00,SKU0010,Surfactants Grade A,Surfactants,kg,253,32,7,8,85,2662,"29,47",540,08/03/2025 00:00,14/03/2025 00:00,Medium
01/04/2025 00:00,SKU0010,Surfactants Grade A,Surfactants,kg,278,32,6,144,276,2662,"29,47",540,08/04/2025 00:00,18/04/2025 00:00,Medium
01/05/2025 00:00,SKU0010,Surfactants Grade A,Surfactants,kg,228,32,5,140,176,2662,"29,47",540,08/05/2025 00:00,08/05/2025 00:00,Medium
01/06/2025 00:00,SKU0010,Surfactants Grade A,Surfactants,kg,193,32,3,308,155,2662,"29,47",540,08/06/2025 00:00,18/06/2025 00:00,Medium
01/07/2025 00:00,SKU0010,Surfactants Grade A,Surfactants,kg,182,32,9,176,45,2662,"29,47",540,08/07/2025 00:00,12/07/2025 00:00,Medium
01/08/2025 00:00,SKU0010,Surfactants Grade A,Surfactants,kg,230,32,6,272,147,2662,"29,47",540,08/08/2025 00:00,18/08/2025 00:00,Medium
01/11/2024 00:00,SKU0011,Surfactants Grade A,Surfactants,kg,344,54,4,0,210,7149,"12,22",1095,08/11/2024 00:00,11/11/2024 00:00,Medium
01/12/2024 00:00,SKU0011,Surfactants Grade A,Surfactants,kg,200,54,9,123,86,7149,"12,22",1095,08/12/2024 00:00,16/12/2024 00:00,Medium
01/01/2025 00:00,SKU0011,Surfactants Grade A,Surfactants,kg,196,54,6,184,238,7149,"12,22",1095,08/01/2025 00:00,13/01/2025 00:00,Medium
01/02/2025 00:00,SKU0011,Surfactants Grade A,Surfactants,kg,202,54,6,155,186,7149,"12,22",1095,08/02/2025 00:00,18/02/2025 00:00,Medium
01/03/2025 00:00,SKU0011,Surfactants Grade A,Surfactants,kg,305,54,2,257,160,7149,"12,22",1095,08/03/2025 00:00,12/03/2025 00:00,Medium
01/04/2025 00:00,SKU0011,Surfactants Grade A,Surfactants,kg,219,54,10,187,43,7149,"12,22",1095,08/04/2025 00:00,09/04/2025 00:00,Medium
01/05/2025 00:00,SKU0011,Surfactants Grade A,Surfactants,kg,304,54,4,329,156,7149,"12,22",1095,08/05/2025 00:00,17/05/2025 00:00,Medium
01/06/2025 00:00,SKU0011,Surfactants Grade A,Surfactants,kg,259,54,4,179,29,7149,"12,22",1095,08/06/2025 00:00,06/06/2025 00:00,Medium
01/07/2025 00:00,SKU0011,Surfactants Grade A,Surfactants,kg,251,54,4,216,29,7149,"12,22",1095,08/07/2025 00:00,09/07/2025 00:00,Medium
01/08/2025 00:00,SKU0011,Surfactants Grade A,Surfactants,kg,168,54,7,189,119,7149,"12,22",1095,08/08/2025 00:00,12/08/2025 00:00,Medium
01/11/2024 00:00,SKU0012,Intermediates Grade C,Intermediates,kg,407,58,7,536,358,8276,"9,42",730,08/11/2024 00:00,14/11/2024 00:00,Medium
01/12/2024 00:00,SKU0012,Intermediates Grade C,Intermediates,kg,551,58,7,749,463,8276,"9,42",730,08/12/2024 00:00,13/12/2024 00:00,Medium
01/01/2025 00:00,SKU0012,Intermediates Grade C,Intermediates,kg,314,58,4,363,328,8276,"9,42",730,08/01/2025 00:00,16/01/2025 00:00,Medium
01/02/2025 00:00,SKU0012,Intermediates Grade C,Intermediates,kg,388,58,8,407,323,8276,"9,42",730,08/02/2025 00:00,16/02/2025 00:00,Medium
01/03/2025 00:00,SKU0012,Intermediates Grade C,Intermediates,kg,439,58,6,118,250,8276,"9,42",730,08/03/2025 00:00,16/03/2025 00:00,Medium
01/04/2025 00:00,SKU0012,Intermediates Grade C,Intermediates,kg,330,58,7,503,72,8276,"9,42",730,08/04/2025 00:00,17/04/2025 00:00,Medium
01/05/2025 00:00,SKU0012,Intermediates Grade C,Intermediates,kg,344,58,10,63,256,8276,"9,42",730,08/05/2025 00:00,13/05/2025 00:00,Medium
01/06/2025 00:00,SKU0012,Intermediates Grade C,Intermediates,kg,326,58,12,476,415,8276,"9,42",730,08/06/2025 00:00,17/06/2025 00:00,Medium
01/07/2025 00:00,SKU0012,Intermediates Grade C,Intermediates,kg,482,58,6,31,351,8276,"9,42",730,08/07/2025 00:00,17/07/2025 00:00,Medium
01/08/2025 00:00,SKU0012,Intermediates Grade C,Intermediates,kg,479,58,8,244,278,8276,"9,42",730,08/08/2025 00:00,05/08/2025 00:00,Medium
01/11/2024 00:00,SKU0013,Solvents Grade B,Solvents,kg,353,24,12,55,67,3993,"23,89",540,08/11/2024 00:00,13/11/2024 00:00,Medium
01/12/2024 00:00,SKU0013,Solvents Grade B,Solvents,kg,273,24,3,372,269,3993,"23,89",540,08/12/2024 00:00,11/12/2024 00:00,Medium
01/01/2025 00:00,SKU0013,Solvents Grade B,Solvents,kg,334,24,9,198,290,3993,"23,89",540,08/01/2025 00:00,13/01/2025 00:00,Medium
01/02/2025 00:00,SKU0013,Solvents Grade B,Solvents,kg,342,24,8,390,290,3993,"23,89",540,08/02/2025 00:00,12/02/2025 00:00,Medium
01/03/2025 00:00,SKU0013,Solvents Grade B,Solvents,kg,388,24,11,659,318,3993,"23,89",540,08/03/2025 00:00,05/03/2025 00:00,Medium
01/04/2025 00:00,SKU0013,Solvents Grade B,Solvents,kg,244,24,4,325,31,3993,"23,89",540,08/04/2025 00:00,16/04/2025 00:00,Medium
01/05/2025 00:00,SKU0013,Solvents Grade B,Solvents,kg,305,24,5,0,52,3993,"23,89",540,08/05/2025 00:00,12/05/2025 00:00,Medium
01/06/2025 00:00,SKU0013,Solvents Grade B,Solvents,kg,369,24,8,289,188,3993,"23,89",540,08/06/2025 00:00,12/06/2025 00:00,Medium
01/07/2025 00:00,SKU0013,Solvents Grade B,Solvents,kg,283,24,2,211,309,3993,"23,89",540,08/07/2025 00:00,15/07/2025 00:00,Medium
01/08/2025 00:00,SKU0013,Solvents Grade B,Solvents,kg,265,24,1,172,125,3993,"23,89",540,08/08/2025 00:00,07/08/2025 00:00,Medium
01/11/2024 00:00,SKU0014,Intermediates Grade A,Intermediates,litre,248,57,8,52,202,3893,"35,24",540,08/11/2024 00:00,05/11/2024 00:00,Medium
01/12/2024 00:00,SKU0014,Intermediates Grade A,Intermediates,litre,288,57,9,485,347,3893,"35,24",540,08/12/2024 00:00,12/12/2024 00:00,Medium
01/01/2025 00:00,SKU0014,Intermediates Grade A,Intermediates,litre,318,57,9,375,333,3893,"35,24",540,08/01/2025 00:00,07/01/2025 00:00,Medium
01/02/2025 00:00,SKU0014,Intermediates Grade A,Intermediates,litre,246,57,12,396,210,3893,"35,24",540,08/02/2025 00:00,07/02/2025 00:00,Medium
01/03/2025 00:00,SKU0014,Intermediates Grade A,Intermediates,litre,368,57,12,531,548,3893,"35,24",540,08/03/2025 00:00,05/03/2025 00:00,Medium
01/04/2025 00:00,SKU0014,Intermediates Grade A,Intermediates,litre,251,57,5,197,354,3893,"35,24",540,08/04/2025 00:00,15/04/2025 00:00,Medium
01/05/2025 00:00,SKU0014,Intermediates Grade A,Intermediates,litre,302,57,4,239,73,3893,"35,24",540,08/05/2025 00:00,09/05/2025 00:00,Medium
01/06/2025 00:00,SKU0014,Intermediates Grade A,Intermediates,litre,251,57,6,341,248,3893,"35,24",540,08/06/2025 00:00,14/06/2025 00:00,Medium
01/07/2025 00:00,SKU0014,Intermediates Grade A,Intermediates,litre,357,57,7,624,363,3893,"35,24",540,08/07/2025 00:00,11/07/2025 00:00,Medium
01/08/2025 00:00,SKU0014,Intermediates Grade A,Intermediates,litre,445,57,5,644,305,3893,"35,24",540,08/08/2025 00:00,14/08/2025 00:00,Medium
01/11/2024 00:00,SKU0015,Solvents Grade A,Solvents,litre,512,39,3,0,571,7679,"28,82",730,08/11/2024 00:00,13/11/2024 00:00,Medium
01/12/2024 00:00,SKU0015,Solvents Grade A,Solvents,litre,424,39,4,421,255,7679,"28,82",730,08/12/2024 00:00,16/12/2024 00:00,Medium
01/01/2025 00:00,SKU0015,Solvents Grade A,Solvents,litre,459,39,9,0,497,7679,"28,82",730,08/01/2025 00:00,11/01/2025 00:00,Medium
01/02/2025 00:00,SKU0015,Solvents Grade A,Solvents,litre,245,39,10,349,147,7679,"28,82",730,08/02/2025 00:00,13/02/2025 00:00,Medium
01/03/2025 00:00,SKU0015,Solvents Grade A,Solvents,litre,497,39,2,316,0,7679,"28,82",730,,,Medium
01/04/2025 00:00,SKU0015,Solvents Grade A,Solvents,litre,441,39,5,749,433,7679,"28,82",730,08/04/2025 00:00,16/04/2025 00:00,Medium
01/05/2025 00:00,SKU0015,Solvents Grade A,Solvents,litre,517,39,10,385,424,7679,"28,82",730,08/05/2025 00:00,06/05/2025 00:00,Medium
01/06/2025 00:00,SKU0015,Solvents Grade A,Solvents,litre,580,39,6,439,398,7679,"28,82",730,08/06/2025 00:00,05/06/2025 00:00,Medium
01/07/2025 00:00,SKU0015,Solvents Grade A,Solvents,litre,465,39,6,497,234,7679,"28,82",730,08/07/2025 00:00,11/07/2025 00:00,Medium
01/08/2025 00:00,SKU0015,Solvents Grade A,Solvents,litre,453,39,8,633,0,7679,"28,82",730,,,Medium
01/11/2024 00:00,SKU0016,Solvents Grade B,Solvents,litre,192,27,4,211,172,8579,"4,17",730,08/11/2024 00:00,18/11/2024 00:00,Low
01/12/2024 00:00,SKU0016,Solvents Grade B,Solvents,litre,150,27,7,198,129,8579,"4,17",730,08/12/2024 00:00,12/12/2024 00:00,Low
01/01/2025 00:00,SKU0016,Solvents Grade B,Solvents,litre,207,27,8,228,158,8579,"4,17",730,08/01/2025 00:00,09/01/2025 00:00,Low
01/02/2025 00:00,SKU0016,Solvents Grade B,Solvents,litre,171,27,9,25,212,8579,"4,17",730,08/02/2025 00:00,07/02/2025 00:00,Low
01/03/2025 00:00,SKU0016,Solvents Grade B,Solvents,litre,113,27,8,15,109,8579,"4,17",730,08/03/2025 00:00,16/03/2025 00:00,Low
01/04/2025 00:00,SKU0016,Solvents Grade B,Solvents,litre,165,27,8,291,140,8579,"4,17",730,08/04/2025 00:00,12/04/2025 00:00,Low
01/05/2025 00:00,SKU0016,Solvents Grade B,Solvents,litre,223,27,6,281,214,8579,"4,17",730,08/05/2025 00:00,10/05/2025 00:00,Low
01/06/2025 00:00,SKU0016,Solvents Grade B,Solvents,litre,163,27,3,5,24,8579,"4,17",730,08/06/2025 00:00,15/06/2025 00:00,Low
01/07/2025 00:00,SKU0016,Solvents Grade B,Solvents,litre,209,27,10,448,125,8579,"4,17",730,08/07/2025 00:00,07/07/2025 00:00,Low
01/08/2025 00:00,SKU0016,Solvents Grade B,Solvents,litre,175,27,3,140,217,8579,"4,17",730,08/08/2025 00:00,05/08/2025 00:00,Low
01/11/2024 00:00,SKU0017,Additives Grade C,Additives,kg,1767,29,5,1392,555,4909,"30,71",540,08/11/2024 00:00,07/11/2024 00:00,High
01/12/2024 00:00,SKU0017,Additives Grade C,Additives,kg,1197,29,7,0,625,4909,"30,71",540,08/12/2024 00:00,09/12/2024 00:00,High
01/01/2025 00:00,SKU0017,Additives Grade C,Additives,kg,2055,29,9,1990,1509,4909,"30,71",540,08/01/2025 00:00,18/01/2025 00:00,High
01/02/2025 00:00,SKU0017,Additives Grade C,Additives,kg,1895,29,8,1477,726,4909,"30,71",540,08/02/2025 00:00,07/02/2025 00:00,High
01/03/2025 00:00,SKU0017,Additives Grade C,Additives,kg,1606,29,7,2626,1615,4909,"30,71",540,08/03/2025 00:00,05/03/2025 00:00,High
01/04/2025 00:00,SKU0017,Additives Grade C,Additives,kg,1381,29,6,1180,1571,4909,"30,71",540,08/04/2025 00:00,09/04/2025 00:00,High
01/05/2025 00:00,SKU0017,Additives Grade C,Additives,kg,1535,29,12,1432,1156,4909,"30,71",540,08/05/2025 00:00,14/05/2025 00:00,High
01/06/2025 00:00,SKU0017,Additives Grade C,Additives,kg,1461,29,8,1365,1687,4909,"30,71",540,08/06/2025 00:00,11/06/2025 00:00,High
01/07/2025 00:00,SKU0017,Additives Grade C,Additives,kg,1367,29,14,1432,1220,4909,"30,71",540,08/07/2025 00:00,18/07/2025 00:00,High
01/08/2025 00:00,SKU0017,Additives Grade C,Additives,kg,2120,29,6,1345,2014,4909,"30,71",540,08/08/2025 00:00,11/08/2025 00:00,High
